rank_date,snapshot_time,rank_position,bvid,aid,title,author,category,main_category,tid,duration,view_count,danmaku_count,reply_count,like_count,coin_count,favorite_count,share_count,pubdate,video_url,cover_url
2026-06-27,2026-06-27 18:23:28,1,BV1zi7Y6BEdS,116810225555111,《原神》超越PV——「骤雪」,原神,手机游戏,游戏,172,1257,6223126,57238,59010,531190,367813,146101,156795,1782446400,https://www.bilibili.com/video/BV1zi7Y6BEdS,http://i1.hdslb.com/bfs/archive/a6ceb6c2928545a6a190e42a946738525cbf44c8.jpg
2026-06-27,2026-06-27 18:23:28,2,BV1rz7569EWw,116815627885315,找到了10年前跪舔b站的视频,逗比的雀巢,搞笑,娱乐,138,439,6555705,14532,13644,676003,390545,190495,30283,1782467592,https://www.bilibili.com/video/BV1rz7569EWw,http://i0.hdslb.com/bfs/archive/61b59b6e7ba5d34592401ac162e800ef3a9ddf0f.jpg
2026-06-27,2026-06-27 18:23:28,3,BV1PFjG6SE2Q,116758803453359,诡秘之主玩法实机PV | 欢迎来到MMO新世界,诡秘之主游戏,单机游戏,游戏,17,319,9276535,5520,10244,265296,80091,149796,70345,1782352800,https://www.bilibili.com/video/BV1PFjG6SE2Q,http://i2.hdslb.com/bfs/archive/0a5272a5041c5119ceac6251f77e33ec58b632b5.jpg
2026-06-27,2026-06-27 18:23:28,4,BV1FY7Y6rEDw,116810326278599,《崩坏：星穹铁道》即兴巡演PV：「欢愉之死」,崩坏星穹铁道,手机游戏,游戏,172,868,3141695,11732,18727,253685,86328,46624,32568,1782446400,https://www.bilibili.com/video/BV1FY7Y6rEDw,http://i1.hdslb.com/bfs/archive/7d7e7def5eee036ae34cf7c3a8cbfdc414ba19f9.jpg
2026-06-27,2026-06-27 18:23:28,5,BV12x756YEDQ,116816047310443,把毒品藏在哪里，60秒内不会被发现？,Upspeed盛嘉成,赛车,赛车,245,1128,3721716,33341,11273,273062,53538,45029,10118,1782472397,https://www.bilibili.com/video/BV12x756YEDQ,http://i2.hdslb.com/bfs/archive/648632c5cc3e0af92fd1cdc67ee0d4f356548d47.jpg
2026-06-27,2026-06-27 18:23:28,6,BV1znjX64Eas,116801635617533,《虐狗是你的谎言》,伤心欲茄222,搞笑,娱乐,138,97,5412720,1434,5413,465709,10989,30882,9297,1782273600,https://www.bilibili.com/video/BV1znjX64Eas,http://i1.hdslb.com/bfs/archive/2fe13048394e220ed71dcac5fe314c423ed9a51c.jpg
2026-06-27,2026-06-27 18:23:28,7,BV1RZ786dEot,116810141663502,当我在MC中把反乌托邦、拼接遗憾和Sinos De Natal融合在了一起...?,Vince丷,单机游戏,游戏,17,130,1352207,4255,5988,283957,109133,144592,8554,1782381514,https://www.bilibili.com/video/BV1RZ786dEot,http://i2.hdslb.com/bfs/archive/9ed0f005a4fe8b7a064d0a046178b2640fb2a19b.jpg
2026-06-27,2026-06-27 18:23:28,8,BV1dF7Y6AEto,116810896640254,我最爱的视频！三代治沙人的努力，世界上即将消失的第一个沙漠！,爱画画的子衿,亲子,生活,254,354,1795525,4006,5157,262355,93649,16137,1998,1782393470,https://www.bilibili.com/video/BV1dF7Y6AEto,http://i0.hdslb.com/bfs/archive/7be2229247fecb7b403345cf8f707c9ec835a35e.jpg
2026-06-27,2026-06-27 18:23:28,9,BV1Hw7t64E8z,116807776081575,菲比：这趟旅行，是给你的惊喜【鸣潮x我的世界】,这下晚了,GMV,GMV,121,170,1503432,1389,4244,220861,54309,59593,13398,1782357600,https://www.bilibili.com/video/BV1Hw7t64E8z,http://i2.hdslb.com/bfs/archive/3758d7f47ab32a0bea6471513470c6c74f3d997e.jpg
2026-06-27,2026-06-27 18:23:28,10,BV1L27G63EdR,116814923176590,大 周 礼 时 代(4),诸葛皮皮9527,小剧场,娱乐,85,88,2996849,3778,7195,308856,15536,44300,6562,1782464400,https://www.bilibili.com/video/BV1L27G63EdR,http://i1.hdslb.com/bfs/archive/4a5c75c24a4c810bf608b83469e782036936d62a.jpg
