rank_date,snapshot_time,rank_position,bvid,aid,title,author,category,main_category,tid,duration,view_count,danmaku_count,reply_count,like_count,coin_count,favorite_count,share_count,pubdate,video_url,cover_url
2026-06-12,2026-06-12 22:16:21,1,BV18VED63EBi,116722866586138,认为自己旅游运差时可以看看我.,风景旅行收藏家,日常,生活,21,163,3639746,3115,9217,480212,19425,164366,15237,1781064000,https://www.bilibili.com/video/BV18VED63EBi,http://i0.hdslb.com/bfs/archive/45526dcb51d3f4a21d85270926d87f0374679047.jpg
2026-06-12,2026-06-12 22:16:21,2,BV1UzE765Ewm,116719964133557,还能再来一次吗…,小潮院长,搞笑,娱乐,138,2527,2445086,26244,4330,197824,92473,61564,3582,1781064000,https://www.bilibili.com/video/BV1UzE765Ewm,http://i0.hdslb.com/bfs/archive/9b5e5be127a42713d37a48dde42b730f8af8a834.jpg
2026-06-12,2026-06-12 22:16:21,3,BV1KkEK6CELv,116712112397979,星际超级荒诞动画喜剧！《外星小偷里贝》第03话：上岸星球【UP动画】,梦游牛油果官方频道,小剧场,娱乐,85,828,3384520,2797,5377,172220,28309,44252,15193,1781172001,https://www.bilibili.com/video/BV1KkEK6CELv,http://i2.hdslb.com/bfs/archive/bf2234cfac7b170ad622d34b94e81a6ca8687ce9.jpg
2026-06-12,2026-06-12 22:16:21,4,BV1sJEZ6nEjb,116726591198647,18岁｜替身使者，会相互吸引。jojo黑帮摇敬上！,悠哈酱Yo,宅舞,舞蹈,20,48,2711342,1210,4311,319095,20207,60930,6959,1781106772,https://www.bilibili.com/video/BV1sJEZ6nEjb,http://i0.hdslb.com/bfs/archive/b9799045e8e31d3e2632dee2755f381c7639ef20.jpg
2026-06-12,2026-06-12 22:16:21,5,BV1BcEE6FE5L,116719527926628,高考结束后回校的高二生,阿君AI小剧场,影视剪辑,影视,183,56,7425392,18104,13680,315575,2755,23862,11188,1780998789,https://www.bilibili.com/video/BV1BcEE6FE5L,http://i1.hdslb.com/bfs/archive/1c4746ea93e44d9e7b9ab226a2ccbf8055ce9a2a.jpg
2026-06-12,2026-06-12 22:16:21,6,BV17YEv6VEUx,116730416469936,动态视频｜吸进身体的二手烟，到底有多脏？,亿点点不一样,科学科普,知识,201,147,1431846,1500,7884,184952,29666,25497,24553,1781168400,https://www.bilibili.com/video/BV17YEv6VEUx,http://i0.hdslb.com/bfs/archive/aad0b8823127354b6857ac449fe2ff4268b2b832.jpg
2026-06-12,2026-06-12 22:16:21,7,BV1wEEg62EDP,116714109014293,Blender原创动画 |工程展示|Lan library,Lan_er2,野生技能协会,野生技能协会,122,281,1606474,478,2228,226299,32409,50683,4565,1780916150,https://www.bilibili.com/video/BV1wEEg62EDP,http://i1.hdslb.com/bfs/archive/e5fa56ef7c04180134210420e575b9913adab385.jpg
2026-06-12,2026-06-12 22:16:21,8,BV1xfEq6AEWd,116730902874019,有什么比精神小妹爱上纯情男大的故事更狗血,马哥巨离谱,搞笑,娱乐,138,490,3031153,5035,6958,129898,46642,17103,6797,1781172690,https://www.bilibili.com/video/BV1xfEq6AEWd,http://i1.hdslb.com/bfs/archive/100cd065a4f0f62b6980cc2c06947eff9d51b1bd.jpg
2026-06-12,2026-06-12 22:16:21,9,BV1vBE26BEtK,116720652064255,我在mc用千万方块还原了『召唤师峡谷』！！,橘不扒皮,单机游戏,游戏,17,67,1404195,1889,4039,262384,101471,22691,5675,1781064000,https://www.bilibili.com/video/BV1vBE26BEtK,http://i2.hdslb.com/bfs/archive/90f11ea10b3d9aca78493af57d1b04da64673ef7.jpg
2026-06-12,2026-06-12 22:16:21,10,BV1T4E36FEUh,116715249797275,新三国up锐评老三国01：这才叫真正的三国！,吃蛋挞的折棒,影视杂谈,影视,182,1406,2819341,25246,14434,227338,209336,50787,10820,1780970400,https://www.bilibili.com/video/BV1T4E36FEUh,http://i2.hdslb.com/bfs/archive/f970ea0af673a4fb40a103bd7530328c2d4550b8.jpg
2026-06-12,2026-06-12 22:16:21,11,BV1GLER6sEVa,116724578124362,今年最恶毒烂梗出炉，一个梗骂几亿中国人，我没见过这么恶心的营销手段！,王小七Fire,社科·法律·心理,知识,124,501,2212729,6261,16176,109532,39682,21642,5841,1781085600,https://www.bilibili.com/video/BV1GLER6sEVa,http://i1.hdslb.com/bfs/archive/1aa00193c3352015575ed146f2d1d16ff8fe8851.jpg
2026-06-12,2026-06-12 22:16:21,12,BV13CE26NEmn,116720668772175,瓜摊监狱兔,Raymondsese,MV,MV,193,123,3555068,2724,4419,211044,42407,65080,24728,1781016173,https://www.bilibili.com/video/BV13CE26NEmn,http://i0.hdslb.com/bfs/archive/91c44571ac7cd0990de538435c03d3e6b1d4071c.jpg
2026-06-12,2026-06-12 22:16:21,13,BV1ytEu6SESN,116714595420698,我以为我们大了 会看些成熟的东西,车瓶人虹泽RC,改装玩车,改装玩车,246,79,3384492,1458,8112,258468,8819,37595,18688,1780923684,https://www.bilibili.com/video/BV1ytEu6SESN,http://i0.hdslb.com/bfs/archive/f2085858e4d1c4dc4e66debafb61d62e325f47cc.jpg
2026-06-12,2026-06-12 22:16:21,14,BV1XGEE6QEcw,116719662208227,2026新一卷数学！难出天际？？？！,一数,校园学习,知识,208,5377,2795941,11231,18677,101756,13753,55417,19822,1781001140,https://www.bilibili.com/video/BV1XGEE6QEcw,http://i2.hdslb.com/bfs/archive/76e388cafc01c667f41f914a76d4e41c7f2cc262.jpg
2026-06-12,2026-06-12 22:16:21,15,BV1aMEj62EdA,116718873614328,🐱躲在超市后门哈气的二人🐱,初小晓Dawn,人力VOCALOID,人力VOCALOID,126,109,1698611,348,4434,183213,12421,54017,21913,1780996200,https://www.bilibili.com/video/BV1aMEj62EdA,http://i2.hdslb.com/bfs/archive/25787049eaa7ba31fe709a2bd6cd951400dcd93c.jpg
2026-06-12,2026-06-12 22:16:21,16,BV1keEu61EfE,116714528315531,末世先杀圣母,云篆写空山,日常,生活,21,121,4730924,2590,5668,217815,8331,26349,6553,1780922683,https://www.bilibili.com/video/BV1keEu61EfE,http://i0.hdslb.com/bfs/archive/7cb98523c111dda7c15042c1205dbd53c610e1c0.jpg
2026-06-12,2026-06-12 22:16:21,17,BV1otE96tE36,116725097960466,懒人为了“顺手”俩字，到底能做多少收纳？,海边二狗哥,家居房产,家居房产,239,580,1939562,2135,3216,95290,7328,42920,9523,1781083688,https://www.bilibili.com/video/BV1otE96tE36,http://i0.hdslb.com/bfs/archive/78553b00560ed356b43f06f4c094db857587023c.jpg
2026-06-12,2026-06-12 22:16:21,18,BV1zzEu6GEHW,116714209545674,《别替我吹了》,伤心欲茄222,搞笑,娱乐,138,119,4385603,4133,16067,346202,10760,21536,3823,1780977600,https://www.bilibili.com/video/BV1zzEu6GEHW,http://i2.hdslb.com/bfs/archive/a53f0df5bb61b89094597f7f5d9ca61c0dd0b6c8.jpg
2026-06-12,2026-06-12 22:16:21,19,BV1GCE26NE6S,116720668777445,9月10日发售《东方红魔乡：新典　～ the Embodiment of Scarlet Devil.》第一弹预告片,上海爱丽丝幻乐团,单机游戏,游戏,17,67,965761,3530,22390,116142,34673,33363,56774,1781016359,https://www.bilibili.com/video/BV1GCE26NE6S,http://i2.hdslb.com/bfs/archive/f6e59c096c0b36085b2b96527ad16724f0eea0a6.jpg
2026-06-12,2026-06-12 22:16:21,20,BV16MEs6UEVu,116706911457428,兄弟，这搁谁谁不焦虑失眠？,猫村猫村,人文历史,知识,228,396,2330784,1898,2541,103483,1878,27442,2950,1781062200,https://www.bilibili.com/video/BV16MEs6UEVu,http://i0.hdslb.com/bfs/archive/b3843f85e8d447de48da4fc356323163da490e1b.jpg
2026-06-12,2026-06-12 22:16:21,21,BV1iwEE6bEYj,116719712470567,虎哥摩根时代请勿模仿虎哥已经来到哔哩哔哩入驻,虎哥二次元教父,鬼畜调教,鬼畜,22,32,7884555,4075,3037,390164,10189,32216,5540,1781001620,https://www.bilibili.com/video/BV1iwEE6bEYj,http://i0.hdslb.com/bfs/archive/1814c6696820d0b663e9e13a0a62785f3e2122c9.jpg
2026-06-12,2026-06-12 22:16:21,22,BV1dhEd6PEZe,116725903262322,【高考TV】横杠单词选选选,大乾乾是顾乾宇,小剧场,娱乐,85,146,1429912,835,3642,134401,4913,17721,11610,1781096417,https://www.bilibili.com/video/BV1dhEd6PEZe,http://i1.hdslb.com/bfs/archive/b817657d2cddad89686dacd283134cb89a278a22.jpg
2026-06-12,2026-06-12 22:16:21,23,BV1w5EM6rEEd,116713253378153,羊把自己放进冰箱,霉冥_,网络游戏,游戏,65,147,2042807,4587,5443,219455,8738,61951,14004,1780903112,https://www.bilibili.com/video/BV1w5EM6rEEd,http://i2.hdslb.com/bfs/archive/966afa69b6bdcc8d7001e6a83adb30c1a08a28e8.jpg
2026-06-12,2026-06-12 22:16:21,24,BV1UsE368E7H,116715199400872,《长路归航》百人合唱 | 我们踏上的，从一开始就是一条归航长路,帷幕VMovie,手机游戏,游戏,172,190,1080269,2172,3999,72193,28229,23876,2946,1781082000,https://www.bilibili.com/video/BV1UsE368E7H,http://i0.hdslb.com/bfs/archive/bbc1fd0fa8df7c862d2424c544a181e1f885c85b.jpg
2026-06-12,2026-06-12 22:16:21,25,BV1c1Em6XENw,116720182299931,“撕裂挡在我前面的一切”【Scar face】【剧情反转の小曲】,早睡起大王,鬼畜调教,鬼畜,22,141,1988681,588,1518,140448,969,25398,1427,1781010000,https://www.bilibili.com/video/BV1c1Em6XENw,http://i1.hdslb.com/bfs/archive/4ca95418fe3e3eccdc3c093fab7c9a1ef292d3dc.jpg
2026-06-12,2026-06-12 22:16:21,26,BV1aCEv6vE1z,116729963353713,全新爽搜图！新式免保！新式房卡！多结局解密！核电站它来了！「三角洲S9赛季」,Key725,网络游戏,游戏,65,664,2267945,2080,3870,95838,5237,58021,10265,1781158258,https://www.bilibili.com/video/BV1aCEv6vE1z,http://i0.hdslb.com/bfs/archive/fff65170b6ce508b349a641611efa9bc0063b599.jpg
2026-06-12,2026-06-12 22:16:21,27,BV1v9ER68Ehn,116726037550411,当90后家长上门道歉,粤知一二,搞笑,娱乐,138,326,1888321,732,812,134202,2811,9573,1292,1781150400,https://www.bilibili.com/video/BV1v9ER68Ehn,http://i1.hdslb.com/bfs/archive/e85511614700f27bd0e2fcd34c7c665e61351380.jpg
2026-06-12,2026-06-12 22:16:21,28,BV11GEv6dEvW,116730298895024,《弧光猎人》弧光测试PV&国服事件预告｜星火燎原,弧光猎人_ARCRaiders,单机游戏,游戏,17,175,2578712,2389,3396,56567,43512,42063,5795,1781229600,https://www.bilibili.com/video/BV11GEv6dEvW,http://i0.hdslb.com/bfs/archive/a8c4284d82a7291fb37cad37789d97562b629eed.jpg
