rank_date,rank_position,bvid,aid,title,author,category,main_category,tid,duration,view_count,danmaku_count,reply_count,like_count,coin_count,favorite_count,share_count,pubdate,video_url,cover_url
2026-06-05,12,BV1jqVS6MECE,116668592292557,【野餐】你醒啦 现在是2012年的5月份呀,野餐slu2pcekry,宅舞,舞蹈,20,182,1241818,1341,7626,237452,15782,47706,4617,1780221916,https://www.bilibili.com/video/BV1jqVS6MECE,http://i2.hdslb.com/bfs/archive/e9673e0b6ccc8de75e114c6f2ea5484907789e23.jpg
2026-06-05,13,BV1Qi7f6eE59,116690805395451,致敬每一个心中有花，努力奔跑的人,爱画画的子衿,亲子,生活,254,313,978162,2059,2030,134582,67428,8146,1856,1780561800,https://www.bilibili.com/video/BV1Qi7f6eE59,http://i1.hdslb.com/bfs/archive/2c9cc3dd70d264a8473e46b8bebaad7db4d6ef2c.jpg
2026-06-05,14,BV1ogV26FEhB,116683943643894,兄弟们！今天给良子做一个入营测试，这身体身体素质，跟我想的不太一样啊!,健身华哥,运动综合,运动,238,246,2213480,4330,50087,108869,3207,6073,12820,1780455998,https://www.bilibili.com/video/BV1ogV26FEhB,http://i1.hdslb.com/bfs/archive/0ef39901811fd5680c39a67445609ba38a9560c2.jpg
2026-06-05,15,BV1B75w6zEG1,116676158823299,二次元老资历童年都在听什么？！老番串烧34首大连唱！,鹿火CAVY,仿妆cos,时尚,252,462,1493831,3018,3578,103649,42419,36488,7308,1780337109,https://www.bilibili.com/video/BV1B75w6zEG1,http://i1.hdslb.com/bfs/archive/a1759f48c315c61aff7325cc0d6c931ad115a8d4.jpg
2026-06-05,16,BV1MG7961Efg,116685688276783,下 一 个 抓 谁 ！！！,啊吗粽,搞笑,娱乐,138,586,1130422,3994,2124,106795,52134,19399,2699,1780482465,https://www.bilibili.com/video/BV1MG7961Efg,http://i2.hdslb.com/bfs/archive/55e9b58ea3d6a84a655b0d2607bb6ff7e31c6d34.jpg
2026-06-05,17,BV1XEV26XEsz,116683641455201,冠以破碎之名：第一集 冰潮寒雨之夏,Xavier_白昼,综合,综合,27,1106,1001226,1393,1979,76099,16146,46099,2546,1780451269,https://www.bilibili.com/video/BV1XEV26XEsz,http://i0.hdslb.com/bfs/archive/edb3c2a03146bbc3390581aa30c41b8e3c3ab846.jpg
2026-06-05,18,BV1xuVC6AEbg,116681426868021,今天把我关于《丧尸清道夫》的创作思路分享给大家，如果能帮到你，我会很开心。,Mx-Shell,影视剪辑,影视,183,2573,869364,764,1695,56659,24263,60493,8429,1780452000,https://www.bilibili.com/video/BV1xuVC6AEbg,http://i0.hdslb.com/bfs/archive/4a766d587664347016b0288147deb324a2964232.jpg
2026-06-05,19,BV16DVz6UE77,116679229180052,如何拍出电影感大片,喜欢拍照的皮皮,日常,生活,21,60,2380643,235,1376,204132,6028,62532,5076,1780384052,https://www.bilibili.com/video/BV16DVz6UE77,http://i1.hdslb.com/bfs/archive/82ba23d6fb45244f769f8f127cfbe2f51afe67c8.jpg
2026-06-05,20,BV1cmVz6DEmi,116679329712224,初代跑男团战力排行,东方日出哇,特摄,动画,86,600,1699354,3825,3072,131524,5683,16693,3269,1780385423,https://www.bilibili.com/video/BV1cmVz6DEmi,http://i0.hdslb.com/bfs/archive/ee051686685860fea8d8721ddf5c5d7f35a85e5f.jpg
2026-06-05,21,BV1mhV26yETL,116683775678542,科比的哲学启示录第十四期,蟹不肉丨,影视剪辑,影视,183,74,3918408,1034,5850,248323,11014,58843,12505,1780453236,https://www.bilibili.com/video/BV1mhV26yETL,http://i0.hdslb.com/bfs/archive/738134aa027bf05aa3f3843c528db81f3d78307d.jpg
2026-06-05,22,BV1sKVr64EXg,116680621561843,演员魏宗万于6月1日去世，享年89岁,中国电影报道,预告·资讯,影视,184,26,1140460,17397,5597,278963,20902,12718,7265,1780406134,https://www.bilibili.com/video/BV1sKVr64EXg,http://i0.hdslb.com/bfs/archive/1148ab18f92299926855421cea80f91871e7f32a.jpg
2026-06-05,23,BV1VWVz6TELx,116679598147712,星际穿越的我，试图提醒过去的自己....,考研英语大雁,校园学习,知识,208,33,1982978,493,1995,254079,5177,29976,5003,1780389685,https://www.bilibili.com/video/BV1VWVz6TELx,http://i0.hdslb.com/bfs/archive/5822709cbd5c2a8a09fabc50bcfdcfc29859f9a1.jpg
2026-06-05,24,BV1F9Vz62ExS,116679262606457,一辈子一定要体验一次的游戏，绝对不能被剧透的神作,易铭小疯子,网络游戏,游戏,65,537,915178,4516,7368,51073,6577,56071,3608,1780403895,https://www.bilibili.com/video/BV1F9Vz62ExS,http://i2.hdslb.com/bfs/archive/d453d6bbde6ccd80f0fd714edde7b754c3e5255e.jpg
2026-06-05,25,BV1jBVS6qEPK,116668508406277,竹丝镶嵌,归乡人山白,手工,生活,161,577,747472,2736,1334,108033,51039,11043,1794,1780410000,https://www.bilibili.com/video/BV1jBVS6qEPK,http://i2.hdslb.com/bfs/archive/1e293d2f3fac4fc22d32427cb5a045e65e22e361.jpg
2026-06-05,26,BV1gzVC6kE1S,116683507243907,【低成本在家实现牛排自由‼️ 】,村驴,美食制作,美食,76,329,740216,486,2061,69235,6747,52521,7650,1780449310,https://www.bilibili.com/video/BV1gzVC6kE1S,http://i0.hdslb.com/bfs/archive/005d3e68934a884c17ab0f89f1daac2ae9982f39.jpg
2026-06-05,27,BV1T2V161E6J,116684195106574,地牢酒馆-12集 《蜕皮的蜥蜴人与神奇薄荷》,粘土工厂,单机游戏,游戏,17,212,801572,1173,1813,117889,18647,14013,1648,1780459574,https://www.bilibili.com/video/BV1T2V161E6J,http://i0.hdslb.com/bfs/archive/f5c43e682c7ce44c1f2733c2cbb5889650fd5a05.jpg
2026-06-05,28,BV1izVB6TE7i,116680084691098,小时候以为的事情,西维西师傅,搞笑,娱乐,138,38,3326753,270,2506,205240,1842,12871,1847,1780397022,https://www.bilibili.com/video/BV1izVB6TE7i,http://i0.hdslb.com/bfs/archive/4790a1728175bce1a38157464666e2fac5ef28c8.jpg
2026-06-05,29,BV13s7z63EjV,116695016477738,《绝区零》3.0新地块实机演示,绝区零,手机游戏,游戏,172,599,609922,5651,10034,74090,38197,13334,17161,1780624803,https://www.bilibili.com/video/BV13s7z63EjV,http://i0.hdslb.com/bfs/archive/ac132a13aed30f0b83ff50dfb56d83e2e518206a.jpg
2026-06-05,30,BV1sC7R6VEF3,116687181451048,【侯绿萝】视频加载中，速速查收惊喜！,侯绿萝,小剧场,娱乐,85,233,1176642,930,1028,114039,6633,8693,1193,1780538400,https://www.bilibili.com/video/BV1sC7R6VEF3,http://i0.hdslb.com/bfs/archive/e40df1469a3bc68659f30a77b0e0801ae88938bb.jpg
2026-06-05,31,BV17GEP6xEDW,116692348832614,新三国up锐评楚汉传奇01：是不是我打开的方式不太对？,吃蛋挞的折棒,影视杂谈,影视,182,1348,502769,11104,5970,64193,65945,13714,5793,1780624800,https://www.bilibili.com/video/BV17GEP6xEDW,http://i2.hdslb.com/bfs/archive/4e5cd47c8551d2b66643e2800041b7ec2d3bf729.jpg
2026-06-05,32,BV1iCV66GEMq,116680873220187,【大鸣王潮1566】谁才是护,寞桀緣才,同人·手书,动画,47,222,745326,2191,2535,74029,29245,14350,3809,1780408996,https://www.bilibili.com/video/BV1iCV66GEMq,http://i2.hdslb.com/bfs/archive/1d370920ae8ab79a4f49b2447feddc63687b6e34.jpg
2026-06-05,33,BV1kzVy6hEGb,116682517385619,手绘2000多张沙画，历时3年制作,胡雪朗,绘画,绘画,162,54,707630,652,1298,157851,38674,21194,3352,1780457400,https://www.bilibili.com/video/BV1kzVy6hEGb,http://i0.hdslb.com/bfs/archive/959cf6a92144f70d7339865fe00cd198c4c8da9e.jpg
2026-06-05,34,BV1hAVm6XEE2,116685570836474,【传奇耐熬王】经典排骨💀60天仍然有5人存活💪到最后拼的就是谁身体好！🤦‍♂️,-超级小能猫-,搞笑,娱乐,138,2617,1360689,11129,2268,59102,13301,27076,2650,1780481719,https://www.bilibili.com/video/BV1hAVm6XEE2,http://i0.hdslb.com/bfs/archive/dc3782f8b522707e818c2537030e1b8893332367.jpg
